Date,Close,High,Low,Open,Volume
02-01-2015,24.28857994,24.75733433,23.84870553,24.74622573,212818400
05-01-2015,23.60433006,24.13751056,23.41771782,24.0575334,257142000
06-01-2015,23.60655594,23.8664809,23.2444366,23.66876003,263188400
07-01-2015,23.93757248,24.0375431,23.70430543,23.81538466,160423600
08-01-2015,24.85730934,24.91507101,24.14862333,24.26636873,237458000
09-01-2015,24.88397217,25.15944821,24.48408622,25.03059589,214798000
12-01-2015,24.27080917,25.02170408,24.17083856,25.0150396,198603200
13-01-2015,24.48630524,25.05947446,24.1952782,24.75511676,268367600
14-01-2015,24.39299583,24.546284,24.1041892,24.22415496,195826400
15-01-2015,23.73096466,24.45075754,23.69542019,24.43742857,240056000
16-01-2015,23.54657173,23.89980452,23.37106637,23.7776167,314053200
20-01-2015,24.15306473,24.20860434,23.65987274,23.95756423,199599600
21-01-2015,24.33745766,24.67291568,24.05309343,24.20416124,194303600
22-01-2015,24.97060966,24.98616069,24.37522496,24.49519073,215185600
23-01-2015,25.09945679,25.27051801,24.77732609,24.94838901,185859200
26-01-2015,25.1261158,25.40603587,25.05946929,25.26829705,222460000
27-01-2015,24.24636459,24.98837444,24.22192704,24.97504378,382274800
28-01-2015,25.61709404,26.24136053,25.61709404,26.13250165,585908400
29-01-2015,26.41462898,26.47905511,25.67261919,25.84146001,337745600
30-01-2015,26.02807808,26.6590071,25.95920782,26.30355401,334982000
02-02-2015,26.35465622,26.47462199,25.78815319,26.22580561,250956400
03-02-2015,26.35909653,26.45684508,26.12805157,26.32577243,207662800
04-02-2015,26.56125832,26.77230982,26.28356031,26.32577095,280598800
05-02-2015,26.75084114,26.81552155,26.59694632,26.76868266,168984800
06-02-2015,26.52557755,26.81998395,26.4185199,26.76868511,174826400
09-02-2015,26.7017746,26.72853773,26.41405898,26.44082382,155559200
10-02-2015,27.2147541,27.24374977,26.7999102,26.80213933,248034000
11-02-2015,27.85263824,27.86155986,27.32181502,27.38203378,294247200
12-02-2015,28.20503426,28.43253114,28.00653304,28.11581983,297898000
13-02-2015,28.34332085,28.38792722,28.02438036,28.38792722,217088800
17-02-2015,28.51058197,28.74476954,28.30761918,28.43474914,252609600
18-02-2015,28.70909309,28.72247466,28.42583742,28.46598383,179566800
19-02-2015,28.64887428,28.77823512,28.62211114,28.65556507,149449600
20-02-2015,28.88306236,28.88306236,28.55966196,28.68679027,195793600
23-02-2015,29.66368103,29.66368103,28.91874429,28.9990371,283896400
24-02-2015,29.47855949,29.79750157,29.25552431,29.65029754,276912400
25-02-2015,28.72469711,29.35142878,28.58195475,29.34250547,298846800
26-02-2015,29.08824539,29.18861053,28.23848197,28.72469699,365150000
27-02-2015,28.65109825,29.12170258,28.60203024,28.9945709,248059200
02-03-2015,28.79161453,29.05702698,28.61541821,28.82730098,192386800
03-03-2015,28.85183716,28.88752361,28.56858147,28.76262443,151265200
04-03-2015,28.66893768,28.8964345,28.61987308,28.79384023,126665200
05-03-2015,28.19388008,28.71578163,28.04890686,28.67786605,226068400
06-03-2015,28.23625946,28.85406629,28.1604283,28.63772185,291368400
09-03-2015,28.35669518,28.89867248,27.89278155,28.53958397,354114000
10-03-2015,27.7701149,28.37454012,27.6117601,28.19388214,275426400
11-03-2015,27.26382446,27.82810329,27.2348305,27.82364333,275756000
12-03-2015,27.75672722,27.85709407,27.12776808,27.27943207,193450800
13-03-2015,27.56492424,27.96861918,27.33965987,27.74558394,207309200
16-03-2015,27.8682518,27.8682518,27.40433981,27.62960417,143497200
17-03-2015,28.33439255,28.39684213,28.02437375,28.08013255,204092400
18-03-2015,28.65333176,28.80722659,28.18495819,28.32546975,261083600
19-03-2015,28.43699455,28.82730624,28.41469137,28.71578862,183238000
20-03-2015,28.08012962,28.63771587,27.91508407,28.60426196,274780400
23-03-2015,28.37230873,28.51505113,28.21841389,28.35223638,150838800
24-03-2015,28.2563324,28.5574279,28.22733673,28.37677162,131369200
25-03-2015,27.51808357,28.28532524,27.51808357,28.22287565,206620800
26-03-2015,27.70989418,27.85263658,27.34411657,27.37980302,190291600
27-03-2015,27.48909378,27.8124942,27.41326261,27.78350023,158184800
30-03-2015,28.18496132,28.1916521,27.65636724,27.66751968,188398800
31-03-2015,27.75227928,28.2117314,27.73666688,28.12251695,168362400
01-04-2015,27.71212959,27.90617087,27.45563872,27.83925962,162485600
02-04-2015,27.95076752,28.00429548,27.69873839,27.88608711,128880400
